,,,,,,,,,
,5994,讥笑,jī xiào,to sneer,32325,18164,"0,000213%",6,7–9
,5995,饥饿,jī è,hunger; starvation; famine,9355,116466,"0,001369%",6,7–9
,5996,机舱,jī cāng,cabin of a plane,18266,45821,"0,000539%", ,7–9
,5997,机动,jī dòng,"locomotive; motorized; power-driven; adaptable; flexible (use, treatment, timing etc)",6582,183606,"0,002158%",6,7–9
,5998,机灵,jī ling,clever; quick-witted,20511,38389,"0,000451%",6,7–9
,5999,机密,jī mì,secret; classified (information),8719,127584,"0,001499%",6,7–9
,6000,机智,jī zhì,quick-witted; resourceful,15114,60303,"0,000709%",6,7–9
,6001,肌肤,jī fū,skin; flesh; fig. close physical relationship,2440,597366,"0,007021%", ,7–9
,6002,积淀,jī diàn,"deposits accumulated over long periods; fig. valuable experience, accumulated wisdom",14650,63251,"0,000743%", ,7–9
,6003,积蓄,jī xù,to save; to put aside; savings,8669,128450,"0,001510%", ,7–9
,6004,基本功,jī běn gōng,basic skills; fundamentals,16649,52588,"0,000618%", ,7–9
,6005,基层,jī céng,basic level; grassroots unit; basement layer,1813,836538,"0,009832%", ,7–9
,6006,基因,jī yīn,gene (loanword),1722,872480,"0,010254%",6,7–9
,6007,基于,jī yú,because of; on the basis of; in view of; on account of,2148,692780,"0,008142%", ,7–9
,6008,基准,jī zhǔn,norm; standard; standard of reference; base; base point; base line; benchmark; reference point; reference frame; criterion; data,4914,265115,"0,003116%", ,7–9
,6009,畸形,jī xíng,deformity; abnormality,5904,208405,"0,002449%", ,7–9
,6010,激发,jī fā,to arouse; to excite,3617,383925,"0,004512%",6,7–9
,6011,激光,jī guāng,laser,5047,256559,"0,003015%", ,7–9
,6012,激化,jī huà,"sharpen (antagonism), intensify (conflict), become more accute",15624,57590,"0,000677%", ,7–9
,6013,激活,jī huó,to activate,4855,269302,"0,003165%", ,7–9
,6014,激励,jī lì,to encourage; to urge; motivation; incentive,2479,587458,"0,006904%",6,7–9
,6015,激起,jī qǐ,to arouse; to evoke; to cause; to stir up,7664,151548,"0,001781%", ,7–9
,6016,激素,jī sù,hormone,4354,307434,"0,003613%", ,7–9
,6017,及其,jí qí,and; as well as,985,1560523,"0,018341%", ,7–9
,6018,及早,jí zǎo,at the earliest possible time; as soon as possible,10296,102618,"0,001206%",6,7–9
,6019,吉普,jí pǔ,Jeep (car brand),26921,24802,"0,000291%", ,7–9
,6020,吉他,jí tā,guitar (loanword),6852,174128,"0,002047%", ,7–9
,6021,吉祥物,jí xiáng wù,mascot,11257,91461,"0,001075%", ,7–9
,6022,级别,jí bié,(military) rank; level; grade,2945,490547,"0,005765%",6,7–9
,6023,极度,jí dù,extremely,5118,251330,"0,002954%", ,7–9
,6024,极力,jí lì,to make a supreme effort; at all costs,7720,150173,"0,001765%", ,7–9
,6025,极少数,jí shǎo shù,extremely few; a small minority,—,—,—, ,7–9
,6026,极为,jí wéi,extremely; exceedingly,2566,567371,"0,006668%", ,7–9
,6027,极限,jí xiàn,limit; extreme boundary,4937,263636,"0,003098%",6,7–9
,6028,即便,jí biàn,even if; even though; right away; immediately,2475,588523,"0,006917%",6,7–9
,6029,即可,jí kě,equivalent to 就可以; can then (do sth); can immediately (do sth); (do sth) and that will suffice,1487,1011953,"0,011893%", ,7–9
,6030,急剧,jí jù,rapid; sudden,6856,174011,"0,002045%",6,7–9
,6031,急迫,jí pò,urgent; pressing; imperative,27277,24244,"0,000285%", ,7–9
,6032,急性,jí xìng,acute,3062,469649,"0,005520%", ,7–9
,6033,急需,jí xū,to urgently need; urgent need,5365,235831,"0,002772%", ,7–9
,6034,急于,jí yú,eager to; in a hurry to,7245,162195,"0,001906%", ,7–9
,6035,急诊,jí zhěn,emergency call; emergency (medical) treatment,9046,121336,"0,001426%",5,7–9
,6036,急转弯,jí zhuǎn wān,to make a sudden turn,33605,16954,"0,000199%", ,7–9
,6037,棘手,jí shǒu,thorny (problem); intractable,13607,69899,"0,000822%", ,7–9
,6038,集会,jí huì,to gather; assembly; meeting,6922,171958,"0,002021%", ,7–9
,6039,集结,jí jié,to assemble; to concentrate; to mass; to build up; to marshal,9700,111326,"0,001308%", ,7–9
,6040,集邮,jí yóu,stamp collecting; philately,20840,37460,"0,000440%", ,7–9
,6041,集装箱,jí zhuāng xiāng,container (for shipping),6473,187386,"0,002202%", ,7–9
,6042,集资,jí zī,to raise money; to accumulate funds,6143,198959,"0,002338%", ,7–9
,6043,嫉妒,jí dù,to be jealous; to envy; to hate,4118,328400,"0,003860%",6,7–9
,6044,挤压,jǐ yā,to squeeze; to press; to extrude,9064,121086,"0,001423%", ,7–9
,6045,脊梁,jǐ liang,backbone; spine,23782,30440,"0,000358%", ,7–9
,6046,计策,jì cè,stratagem,28419,22586,"0,000265%", ,7–9
,6047,计较,jì jiào,to bother about; to haggle; to bicker; to argue; plan; stratagem,5716,216883,"0,002549%",6,7–9
,6048,计时,jì shí,to measure time; to time; to reckon by time,16152,55015,"0,000647%", ,7–9
,6049,记号,jì hao,mark; symbol; notation; seal,22178,34027,"0,000400%", ,7–9
,6050,记忆犹新,jì yì yóu xīn,to remain fresh in one’s memory (idiom),16415,53605,"0,000630%", ,7–9
,6051,纪录片,jì lù piàn,newsreel; documentary (film or TV program),8421,133817,"0,001573%", ,7–9
,6052,纪念碑,jì niàn bēi,monument,12533,78404,"0,000921%", ,7–9
,6053,纪念馆,jì niàn guǎn,memorial hall; commemorative museum,10757,97071,"0,001141%", ,7–9
,6054,纪念日,jì niàn rì,day of commemoration; memorial day,9764,110288,"0,001296%", ,7–9
,6055,纪实,jì shí,record of actual events; documentary (factual rather than fictional),17581,48528,"0,000570%", ,7–9
,6056,技艺,jì yì,skill; art,10618,98703,"0,001160%", ,7–9
,6057,忌讳,jì huì,taboo; to avoid as taboo; to abstain from,17363,49399,"0,000581%",6,7–9
,6058,忌口,jì kǒu,abstain from certain food (as when ill); avoid certain foods; be on a diet,44538,10041,"0,000118%", ,7–9
,6059,迹象,jì xiàng,mark; indication; sign; indicator,3444,410223,"0,004821%",6,7–9
,6060,继而,jì ér,then; afterwards,9537,113770,"0,001337%", ,7–9
,6061,继父,jì fù,stepfather,30879,19616,"0,000231%", ,7–9
,6062,继母,jì mǔ,stepmother,30148,20395,"0,000240%", ,7–9
,6063,祭奠,jì diàn,to offer sacrifices (to one’s ancestors); to hold or attend a memorial service,19006,43079,"0,000506%", ,7–9
,6064,祭祀,jì sì,to offer sacrifices to the gods or ancestors,12284,80683,"0,000948%", ,7–9
,6065,寄托,jì tuō,"to entrust (to sb); to place (one’s hope, energy etc) in; a thing in which you invest (your hope, energy etc)",8517,131507,"0,001546%",6,7–9
,6066,寂静,jì jìng,quiet,9380,116161,"0,001365%",6,7–9
,6067,寂寞,jì mò,lonely; lonesome; (of a place) quiet; silent,1854,819697,"0,009634%",5,7–9
,6068,加紧,jiā jǐn,to intensify; to speed up; to step up,5862,210369,"0,002472%", ,7–9
,6069,加剧,jiā jù,to intensify; to sharpen; to accelerate; to aggravate; to exacerbate; to embitter,4526,292831,"0,003442%",6,7–9
,6070,加深,jiā shēn,to deepen,5971,205596,"0,002416%", ,7–9
,6071,加重,jiā zhòng,"to make heavier; to emphasize; (of an illness etc) to become more serious; to aggravate (a bad situation); to increase (a burden, punishment etc)",3764,367161,"0,004315%", ,7–9
,6072,佳节,jiā jié,festive day; holiday,12635,77559,"0,000912%", ,7–9
,6073,家伙,jiā huo,"household dish, implement or furniture; domestic animal; (coll.) guy; chap; weapon",2105,711046,"0,008357%",6,7–9
,6074,家家户户,jiā jiā hù hù,each and every family (idiom); every household,21526,35683,"0,000419%", ,7–9
,6075,家教,jiā jiào,family education; upbringing; to bring sb up; private tutor,—,—,—, ,7–9
,6076,家境,jiā jìng,family financial situation; family circumstances,—,—,—, ,7–9
,6077,家禽,jiā qín,poultry; domestic fowl,8308,136064,"0,001599%", ,7–9
,6078,家用,jiā yòng,home-use; domestic; family expenses; housekeeping money,—,—,—, ,7–9
,6079,家喻户晓,jiā yù hù xiǎo,understood by everyone (idiom); well known; a household name,15755,56908,"0,000669%",6,7–9
,6080,家政,jiā zhèng,housekeeping,—,—,—, ,7–9
,6081,家族,jiā zú,family; clan,2525,577276,"0,006785%", ,7–9
,6082,嘉年华,jiā nián huá,carnival (loanword),10573,99248,"0,001166%", ,7–9
,6083,假定,jiǎ dìng,to assume; to suppose; supposed; so-called; assumption; hypothesis,12607,77784,"0,000914%", ,7–9
,6084,假冒,jiǎ mào,to impersonate; to pose as (someone else); to counterfeit; to palm off (a fake as a genuine),7062,168073,"0,001975%", ,7–9
,6085,假设,jiǎ shè,to suppose; to presume; to assume; supposing that …; if; hypothesis; conjecture,5214,245523,"0,002886%",5,7–9
,6086,假使,jiǎ shǐ,if; in case; suppose; given …,26673,25229,"0,000297%", ,7–9
,6087,假装,jiǎ zhuāng,to feign; to pretend,5599,223088,"0,002622%",5,7–9
,6088,价位,jià wèi,price level,4388,305072,"0,003585%", ,7–9
,6089,价值观,jià zhí guān,system of values,4883,266916,"0,003137%", ,7–9
,6090,驾车,jià chē,to drive a vehicle,4859,269103,"0,003163%", ,7–9
,6091,驾驭,jià yù,to urge on (of horse); to drive; to steer; to handle; to manage; to master; to dominate,9045,121380,"0,001427%", ,7–9
,6092,架势,jià shi,attitude; position (on an issue etc),13597,69947,"0,000822%", ,7–9
,6093,架子,jià zi,shelf; frame; stand; framework; airs; arrogance,10011,106558,"0,001252%", ,7–9
,6094,嫁妆,jià zhuang,dowry,28359,22683,"0,000267%", ,7–9
,6095,尖端,jiān duān,sharp pointed end; the tip; the cusp; tip-top; most advanced and sophisticated; highest peak; the best,14049,66974,"0,000787%",6,7–9
,6096,尖锐,jiān ruì,sharp; intense; penetrating; pointed; acute (illness),6964,170753,"0,002007%",6,7–9
,6097,奸诈,jiān zhà,treachery; devious; a rogue,33631,16932,"0,000199%", ,7–9
,6098,歼灭,jiān miè,to wipe out; to crush; to annihilate,14439,64512,"0,000758%", ,7–9
,6099,坚持不懈,jiān chí bù xiè,to persevere unremittingly (idiom); to keep going until the end,12260,80900,"0,000951%", ,7–9
,6100,坚韧,jiān rèn,tough and durable; tenacious,12467,78960,"0,000928%",6,7–9
,6101,坚实,jiān shí,firm and substantial; solid,5819,211874,"0,002490%",6,7–9
,6102,坚守,jiān shǒu,to hold fast to; to stick to,7083,167306,"0,001966%", ,7–9
,6103,坚信,jiān xìn,to believe firmly; without any doubt,6365,190961,"0,002244%", ,7–9
,6104,坚硬,jiān yìng,hard; solid,12240,81094,"0,000953%",6,7–9
,6105,肩膀,jiān bǎng,shoulder,4073,332338,"0,003906%",5,7–9
,6106,肩负,jiān fù,to shoulder (a burden); to bear; to suffer (a disadvantage),9843,109058,"0,001282%", ,7–9
,6107,艰巨,jiān jù,arduous; terrible (task); very difficult; formidable,6531,185515,"0,002180%",5,7–9
,6108,艰苦奋斗,jiān kǔ fèn dòu,to struggle arduously,8005,143292,"0,001684%", ,7–9
,6109,艰险,jiān xiǎn,difficult and dangerous; hardships and perils,28031,23171,"0,000272%", ,7–9
,6110,艰辛,jiān xīn,hardships; arduous; difficult,7112,166567,"0,001958%", ,7–9
,6111,监察,jiān chá,to supervise; to control,3605,386809,"0,004546%", ,7–9
,6112,监管,jiān guǎn,to oversee; to take charge of; to supervise; to administer; supervisory; supervision,1081,1427140,"0,016773%", ,7–9
,6113,监护,jiān hù,to act as a guardian,10314,102336,"0,001203%", ,7–9
,6114,监控,jiān kòng,to monitor,2877,502687,"0,005908%", ,7–9
,6115,监视,jiān shì,to monitor; to keep a close watch over; surveillance,6258,194317,"0,002284%",6,7–9
,6116,监狱,jiān yù,prison,4360,306814,"0,003606%",6,7–9
,6117,兼顾,jiān gù,"to attend simultaneously to two or more things; to balance (career and family, family and education etc)",7190,163707,"0,001924%", ,7–9
,6118,兼任,jiān rèn,to hold several jobs at once; concurrent post; working part-time,10695,97701,"0,001148%", ,7–9
,6119,兼容,jiān róng,compatible,9403,115797,"0,001361%", ,7–9
,6120,兼职,jiān zhí,to hold concurrent posts; concurrent job; moonlighting,6674,179857,"0,002114%",5,7–9
,6121,检察,jiǎn chá,to inspect; (law) to prosecute; to investigate,3885,352337,"0,004141%", ,7–9
,6122,检讨,jiǎn tǎo,to examine or inspect; self-criticism; review,7895,146008,"0,001716%",6,7–9
,6123,减免,jiǎn miǎn,"to reduce or waive (taxes, punishment, rent, tuition etc)",7641,152011,"0,001787%", ,7–9
,6124,减弱,jiǎn ruò,to weaken; to fall off,5369,235763,"0,002771%", ,7–9
,6125,减速,jiǎn sù,to reduce speed; to slow down; to take it easy,10555,99394,"0,001168%", ,7–9
,6126,减压,jiǎn yā,to reduce pressure; to relax,10994,94332,"0,001109%", ,7–9
,6127,简称,jiǎn chēng,to be abbreviated to; abbreviation; short form,2204,675473,"0,007939%", ,7–9
,6128,简短,jiǎn duǎn,"brief (statement, summary etc); briefly; brevity",9687,111494,"0,001310%", ,7–9
,6129,简化,jiǎn huà,to simplify,6545,184822,"0,002172%",6,7–9
,6130,简洁,jiǎn jié,concise; succinct; pithy,5483,228227,"0,002682%", ,7–9
,6131,简陋,jiǎn lòu,simple and crude,10797,96636,"0,001136%",6,7–9
,6132,简体字,jiǎn tǐ zì,"simplified Chinese character, as opposed to traditional Chinese character 繁體字|繁体字[fán tǐ zì]",50265,7899,"0,000093%",6,7–9
,6133,简要,jiǎn yào,concise; brief,13323,72131,"0,000848%",6,7–9
,6134,简易,jiǎn yì,simple and easy; simplistic; simplicity,8599,129952,"0,001527%", ,7–9
,6135,见解,jiàn jiě,opinion; view; understanding,8129,140216,"0,001648%",6,7–9
,6136,见钱眼开,jiàn qián yǎn kāi,to open one’s eyes wide at the sight of profit (idiom); thinking of nothing but personal gain; money-grubbing,60913,5248,"0,000062%", ,7–9
,6137,见仁见智,jiàn rén jiàn zhì,opinions differ (idiom),39787,12493,"0,000147%", ,7–9
,6138,见识,jiàn shi,to gain first-hand knowledge of sth; to experience for oneself; knowledge; experience; insight,5402,233451,"0,002744%", ,7–9
,6139,见外,jiàn wài,to regard sb as an outsider,38180,13485,"0,000158%", ,7–9
,6140,见效,jiàn xiào,to have the desired effect,11803,85337,"0,001003%", ,7–9
,6141,见义勇为,jiàn yì yǒng wéi,"to see what is right and act courageously (idiom, from Analects); to stand up bravely for the truth; acting heroically in a just cause",11630,86992,"0,001022%",6,7–9
,6142,见证,jiàn zhèng,to be witness to; witness; evidence,4731,277848,"0,003266%", ,7–9
,6143,间谍,jiàn dié,spy,7294,160638,"0,001888%",6,7–9
,6144,间断,jiàn duàn,disconnected; interrupted; suspended,8761,126831,"0,001491%", ,7–9
,6145,间隔,jiàn gé,compartment; gap; interval; to divide,7288,160852,"0,001890%",6,7–9
,6146,间隙,jiàn xì,interval; gap; clearance,7280,161089,"0,001893%", ,7–9
,6147,建交,jiàn jiāo,to establish diplomatic relations,13477,70822,"0,000832%", ,7–9
,6148,建树,jiàn shù,to make a contribution; to establish; to found; contribution,20978,37078,"0,000436%", ,7–9
,6149,建筑师,jiàn zhù shī,architect,13042,74484,"0,000875%", ,7–9
,6150,建筑物,jiàn zhù wù,building; structure; edifice,5311,239298,"0,002812%", ,7–9
,6151,健美,jiàn měi,healthy and beautiful; to do fitness exercises; abbr. for 健美運動|健美运动[jiàn měi yùn dòng],16022,55695,"0,000655%", ,7–9
,6152,健壮,jiàn zhuàng,robust; healthy; sturdy,17899,47246,"0,000555%", ,7–9
,6153,鉴别,jiàn bié,to differentiate; to distinguish,6202,196671,"0,002311%",6,7–9
,6154,鉴赏,jiàn shǎng,to appreciate,14992,61052,"0,000718%", ,7–9
,6155,鉴于,jiàn yú,in view of; seeing that; considering; whereas,3768,367044,"0,004314%",6,7–9
,6156,僵化,jiāng huà,to become rigid,19448,41562,"0,000488%", ,7–9
,6157,僵局,jiāng jú,impasse; deadlock,11044,93850,"0,001103%", ,7–9
,6158,讲解,jiǎng jiě,to explain,6084,201216,"0,002365%", ,7–9
,6159,讲述,jiǎng shù,to talk about; to narrate; to give an account,3071,468208,"0,005503%", ,7–9
,6160,讲学,jiǎng xué,to lecture (on branch of learning),22153,34095,"0,000401%", ,7–9
,6161,奖杯,jiǎng bēi,trophy cup,8906,123980,"0,001457%", ,7–9
,6162,奖牌,jiǎng pái,medal (awarded as a prize),9791,109886,"0,001291%", ,7–9
,6163,奖品,jiǎng pǐn,award; prize,2596,561714,"0,006602%", ,7–9
,6164,奖项,jiǎng xiàng,award; prize,—,—,—, ,7–9
,6165,降临,jiàng lín,to descend; to arrive; to come,4989,260032,"0,003056%",6,7–9
,6166,交叉,jiāo chā,to cross; to intersect; to overlap,4144,325860,"0,003830%",6,7–9
,6167,交锋,jiāo fēng,to cross swords; to have a confrontation (with sb),7699,150633,"0,001770%", ,7–9
,6168,交付,jiāo fù,to hand over; to deliver,6017,203734,"0,002394%", ,7–9
,6169,交集,jiāo jí,intersection (symbol ∩) (set theory),14537,63958,"0,000752%", ,7–9
,6170,交接,jiāo jiē,(of two things) to come into contact; to meet; to hand over to; to take over from; to associate with; to have friendly relations with; to have sexual intercourse,10048,105994,"0,001246%", ,7–9
,6171,交界,jiāo jiè,common boundary; common border,13799,68661,"0,000807%", ,7–9
,6172,交纳,jiāo nà,to pay (taxes or dues),6551,184643,"0,002170%", ,7–9
